,S&P 500 Index,"2,722.46",2018-05-17 02:41:25.376830
0,S&P 500 Index,"2,722.46",2018-05-17 02:41:37.866544
1,S&P 500 Index,"2,722.46",2018-05-17 02:46:48.536314
2,S&P 500 Index,"2,722.46",2018-05-17 02:46:53.537600
3,S&P 500 Index,"2,722.46",2018-05-17 02:46:58.537886
4,S&P 500 Index,"2,722.46",2018-05-17 02:47:03.538172
5,S&P 500 Index,"2,722.46",2018-05-17 02:47:08.538458
6,S&P 500 Index,"2,722.46",2018-05-17 02:47:13.538744
7,S&P 500 Index,"2,722.46",2018-05-17 02:47:18.539030
8,S&P 500 Index,"2,722.46",2018-05-17 02:47:23.539316
9,S&P 500 Index,"2,722.46",2018-05-17 02:47:28.539602
10,S&P 500 Index,"2,722.46",2018-05-17 02:47:33.539888
11,S&P 500 Index,"2,722.46",2018-05-17 02:47:38.540174
12,S&P 500 Index,"2,722.46",2018-05-17 02:47:43.540460
13,S&P 500 Index,"2,722.46",2018-05-17 02:47:48.540746
14,S&P 500 Index,"2,722.46",2018-05-17 02:47:53.541032
15,S&P 500 Index,"2,722.46",2018-05-17 02:47:58.541318
16,S&P 500 Index,"2,722.46",2018-05-17 02:48:03.541604
17,S&P 500 Index,"2,722.46",2018-05-17 02:48:08.541890
18,S&P 500 Index,"2,722.46",2018-05-17 02:48:13.543176
19,S&P 500 Index,"2,722.46",2018-05-17 02:48:18.543462
20,S&P 500 Index,"2,722.46",2018-05-17 02:48:23.543748
