date,price
2019-03-31 21:08:33.556598,-1.0
2019-03-31 21:08:37.081799,-1.0
2019-05-13 14:39:39.115479,280.91
2019-05-13 14:39:43.187712,281.02
2019-05-13 14:41:26.981649,281.34
2019-05-13 14:41:30.072826,281.48
2019-06-05 19:09:00.092767,0.0
2019-06-05 19:09:05.100054,0.0
2020-06-25 19:19:55.277749,0.0
2020-06-25 19:20:00.313037,0.0
2020-06-25 19:21:01.048511,307.34
2020-06-25 19:21:04.218693,307.34
2020-06-25 19:24:42.855198,307.2
2020-06-25 19:24:46.060381,307.2
2020-06-25 19:33:39.949918,307.25
2020-06-25 19:33:43.141101,307.25
2020-06-26 11:39:47.548725,301.93
2020-06-26 11:39:50.621900,301.93
2020-06-26 11:40:00.878487,302.09
2020-06-26 11:40:04.076670,302.09
